ticker,company,sector,cluster,perfil,mean_pred_return,mean_vol_21d,mean_drawdown
VST,Vistra Corp.,Utilities,0,Arrojado,0.02593106961926454,0.035185830097217784,-0.11753579154303326
VTR,Ventas,Real Estate,1,Conservador,-0.0021936586219449016,0.012886282907546164,-0.04293272178049619
VTRS,Viatris,Health Care,2,Moderado,0.007853990886254512,0.019594098784263006,-0.08674067984942338
VZ,Verizon,Communication Services,1,Conservador,-0.0017431559134426604,0.013264865425312532,-0.045114634319870166
WAB,Wabtec,Industrials,1,Conservador,-0.0012278060390959209,0.01446859025197304,-0.04162695198026752
WAT,Waters Corporation,Health Care,2,Moderado,0.011267016050992229,0.021233670594167687,-0.09739823323858386
WBD,Warner Bros. Discovery,Communication Services,0,Arrojado,0.021301953948642795,0.028715907035243467,-0.11544326643957988
WDAY,"Workday, Inc.",Information Technology,2,Moderado,0.014042185243458459,0.021572978739287287,-0.13419869056598543
WDC,Western Digital,Information Technology,2,Moderado,0.014834101303581728,0.030972935319808145,-0.07824132943065554
WEC,WEC Energy Group,Utilities,1,Conservador,-0.004606892208893214,0.010406839440302374,-0.03436200367289822
WELL,Welltower,Real Estate,1,Conservador,-0.0034129608699600667,0.012523566687439555,-0.03048461760944755
WFC,Wells Fargo,Financials,1,Conservador,0.002782847580242766,0.017324807709586033,-0.057241982572571064
WM,Waste Management,Industrials,1,Conservador,-0.003799008503074425,0.011242567165182437,-0.04063506742011509
WMB,Williams Companies,Energy,1,Conservador,-0.0009771721837561604,0.01403392088711572,-0.038177069960956045
WMT,Walmart,Consumer Staples,1,Conservador,-0.003543510317199311,0.01307940440344678,-0.03361620712208836
WRB,W. R. Berkley Corporation,Financials,1,Conservador,-0.0008759588557090605,0.0135369214139401,-0.0507024891526926
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,2,Moderado,0.015462190244190049,0.026235415310481836,-0.09002135722861213
WST,West Pharmaceutical Services,Health Care,2,Moderado,0.01768090522280206,0.024488729006264743,-0.12209360380518675
WTW,Willis Towers Watson,Financials,1,Conservador,-0.0007059899271896623,0.012926452359021358,-0.05231384326797629
WY,Weyerhaeuser,Real Estate,1,Conservador,0.0045133575469908606,0.015546538024146546,-0.08528663760029258
WYNN,Wynn Resorts,Consumer Discretionary,2,Moderado,0.01050453418802171,0.021628219600452924,-0.10054773044232371
XEL,Xcel Energy,Utilities,1,Conservador,-0.001556582692838815,0.012405282071378478,-0.04594589582755112
XOM,ExxonMobil,Energy,1,Conservador,-0.0012468378078203052,0.013745755498891956,-0.04941848317537484
XYL,Xylem Inc.,Industrials,1,Conservador,0.0005806003350024867,0.014072879806042425,-0.06123157819351383
XYZ,"Block, Inc.",Financials,0,Arrojado,0.022776986954067643,0.030843077599870324,-0.13818055365835927
YUM,Yum! Brands,Consumer Discretionary,1,Conservador,-0.002054068672909672,0.012513875555357216,-0.04288888833210672
ZBH,Zimmer Biomet,Health Care,1,Conservador,0.0046187601435657265,0.01569285120575197,-0.08378506053425899
ZBRA,Zebra Technologies,Information Technology,2,Moderado,0.013311200259982175,0.023015502574685365,-0.108225852379478
ZTS,Zoetis,Health Care,2,Moderado,0.00670747293627008,0.016383337907638355,-0.09270647749634883
